time,angle1,angle2,intgangle,accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
524.749,88.7698,1.48162,0,9.58008,0.112566,-1.8753,-0.335366,-0.27439,-1.40244,-9.91059,-0.512534,0.265847,-13.8415,-6.12805,5.18293
524.758,88.7777,1.48997,0,9.5681,0.0958008,-1.87291,-0.304878,-0.396341,-1.31098,-9.88185,-0.457449,0.287402,-14.1159,-3.9939,5.4878
524.768,88.7874,1.49113,0,9.56571,0.0910107,-1.8777,-0.396341,-0.762195,-1.25,-9.87467,-0.474214,0.258662,-14.6951,-3.44512,5.73171
524.778,88.7914,1.48934,0,9.58966,0.102986,-1.81542,-0.0914634,-0.396341,-1.43293,-9.85311,-0.457449,0.244292,-15.3659,-5.30488,4.78659
524.788,88.7962,1.48964,0,9.59445,0.0838257,-1.90644,-0.182927,-0.548781,-1.58537,-9.87227,-0.498164,0.253872,-15.9146,-4.7561,4.29878
524.798,88.7959,1.48106,0,9.60163,0.112566,-1.86333,0.0914634,-0.426829,-1.58537,-9.86748,-0.502954,0.215552,-15.7317,-4.93902,4.32927
524.809,88.8037,1.48467,0,9.5705,0.0862207,-1.8753,-0.243902,-0.213415,-1.37195,-9.92017,-0.514929,0.268242,-14.8171,-4.29878,5.36585
524.818,88.8074,1.48693,0,9.5705,0.0886157,-1.86572,-0.0914634,0.182927,-1.58537,-9.87946,-0.519719,0.261057,-14.1768,-5.57927,5.79268
524.828,88.8139,1.47697,0,9.5705,0.0718506,-1.85854,-0.152439,0.0914634,-1.58537,-9.88664,-0.479004,0.208367,-13.9024,-5.91463,4.78659
524.839,88.817,1.4871,0,9.59924,0.0981958,-1.86812,0.213415,0.121951,-1.4939,-9.90341,-0.457449,0.294587,-15.4878,-5.51829,5.39634
524.849,88.8184,1.50203,0,9.57768,0.0910107,-1.90404,-0.152439,0.0609756,-1.67683,-9.87227,-0.476609,0.316143,-15.7317,-5.42683,4.90854
524.858,88.8232,1.50711,0,9.59684,0.0934058,-1.85614,0.0609756,-0.0304878,-1.43293,-9.91538,-0.464634,0.277822,-15.6402,-4.72561,4.93902
524.869,88.8213,1.51297,0,9.56331,0.107776,-1.88967,-0.0914634,0.182927,-1.70732,-9.85311,-0.479004,0.280217,-15.9146,-4.84756,4.45122
524.879,88.8212,1.51332,0,9.60642,0.110171,-1.85375,-0.27439,0.0609756,-1.55488,-9.86509,-0.500559,0.258662,-15.7622,-3.96341,5.70122
524.888,88.818,1.51984,0,9.60163,0.112566,-1.93518,-0.182927,0.182927,-1.7378,-9.87946,-0.505349,0.285007,-16.2805,-3.62805,3.96341
