time,angle1,angle2,intgangle,accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
736.439,1.8397,-1.47506,0,0.862207,9.30465,-1.89446,7.04268,35.8537,-36.0976,-36.8689,-4.01884,-2.68721,-138.963,-69.1768,-31.5244
736.449,1.55158,-1.5609,0,0.768801,9.34537,-1.96152,5.79268,32.5305,-35.2439,-36.4474,-3.01293,-2.53393,-142.652,-67.561,-24.9085
736.459,1.246,-1.6667,0,0.55325,9.29028,-2.02619,4.54268,28.0488,-34.9695,-35.6523,-2.35191,-2.85007,-147.287,-68.2622,-19.3293
736.469,0.926653,-1.76339,0,0.414338,9.25675,-2.019,3.2622,22.622,-35.2744,-35.5277,-2.73511,-2.76385,-153.78,-68.689,-13.9939
736.479,0.59145,-1.85164,0,0.280217,9.25196,-2.03577,2.37805,16.3415,-35.8537,-35.7002,-2.79259,-2.70637,-159.695,-69.3598,-11.9207
736.489,0.248107,-1.96879,0,0.189207,9.24957,-2.0669,0.731707,10.1524,-36.2195,-35.7002,-3.21412,-3.2237,-169.146,-70.6707,-10.4573
736.499,-0.103444,-2.06626,0,0.00718506,9.22801,-2.14115,-2.89634,4.7561,-35.4573,-35.8726,-3.69312,-3.00335,-176.921,-71.8293,-7.62195
736.509,-0.441973,-2.15623,0,0.210762,9.39327,-2.26329,-4.81707,1.64634,-37.378,-36.16,-4.00926,-2.97461,-186.037,-73.6585,-1.67683
736.519,-0.794977,-2.26829,0,0.225132,9.59924,-2.43813,-5.82317,-0.640244,-39.6646,-36.2462,-4.42121,-3.39614,-192.988,-74.1159,3.75
736.529,-1.13953,-2.38747,0,0.373623,9.51062,-2.58423,-6.7378,-0.701219,-41.372,-36.2175,-4.89063,-3.58774,-200.488,-76.6463,10.6098
736.539,-1.46502,-2.51454,0,0.627495,9.48667,-2.71116,-6.64634,1.64634,-43.2622,-35.8151,-5.10139,-3.7506,-207.226,-77.1646,18.5366
736.549,-1.79403,-2.65224,0,0.63947,9.35495,-2.62015,-5.85366,5.88415,-44.5427,-35.1637,-5.33131,-3.92304,-214.482,-75.6098,24.5122
736.559,-2.10937,-2.80232,0,0.883762,9.12023,-2.67045,-5.51829,10.8232,-47.1341,-34.6176,-5.57082,-4.1338,-219.726,-74.2073,32.1951
736.569,-2.40419,-2.99878,0,1.08494,8.96216,-2.81175,-5.97561,14.8171,-48.4756,-33.6883,-5.47501,-4.79483,-223.384,-68.1098,39.1463
736.579,-2.68327,-3.25023,0,1.20948,8.88313,-2.84528,-4.17683,19.6037,-49.2073,-33.5063,-5.75284,-5.70494,-223.079,-63.5061,43.9329
736.589,-2.93877,-3.55608,0,1.36756,8.81607,-2.85965,-1.92073,24.9085,-49.5427,-33.171,-6.0594,-6.59588,-220.213,-55.061,47.8049
736.599,-3.17502,-3.86963,0,1.46575,8.79212,-2.75427,-0.182927,29.3598,-49.4207,-33.3626,-6.35638,-6.91203,-212.744,-46.6159,49.4817
736.609,-3.4177,-4.18644,0,1.31966,8.98611,-2.65847,0.518293,31.4024,-48.2927,-34.0141,-6.79707,-7.26649,-206.006,-38.2317,51.9512
736.619,-3.64833,-4.49674,0,1.25739,9.24717,-2.4022,0.548781,29.2073,-46.311,-34.5506,-7.27607,-7.45809,-198.384,-32.0427,53.2012
736.629,-3.84302,-4.7986,0,1.37714,9.48188,-2.23934,-0.365854,26.7073,-44.1768,-35.02,-7.64011,-7.60179,-190.793,-25.7927,53.9329
736.639,-3.99005,-5.03998,0,1.56155,9.59684,-1.95434,-1.79878,23.0183,-41.7073,-35.9397,-8.43526,-6.98867,-181.677,-22.2561,56.4939
736.649,-4.04741,-5.2369,0,2.13396,9.63516,-1.8777,-3.96341,21.4939,-39.4817,-37.2042,-8.78972,-6.6342,-173.933,-19.7866,58.7195
736.659,-4.04999,-5.42709,0,2.49082,9.8555,-1.84177,-6.37195,20.7927,-37.4695,-38.3538,-9.53697,-6.85455,-167.226,-18.8415,61.5854
736.669,-4.02385,-5.59237,0,2.67763,9.74533,-1.81063,-8.04878,22.2866,-36.9512,-39.0149,-10.198,-6.65336,-160.732,-15.5488,63.0183
736.679,-3.99334,-5.75063,0,2.60818,9.45075,-1.76992,-7.86585,23.9329,-36.5854,-39.513,-10.1214,-6.71084,-152.957,-10.122,67.5305
736.689,-3.97071,-5.92913,0,2.28964,9.07952,-1.76513,-6.34146,24.6951,-34.7256,-39.9154,-9.65193,-7.23775,-142.5,-3.93293,72.1951
736.699,-3.9805,-6.06061,0,1.80105,8.84481,-2.03577,-4.7561,23.2622,-32.5915,-40.2603,-8.98132,-6.55756,-134.329,-0.335366,77.8963
736.709,-4.01965,-6.15385,0,1.28613,8.78493,-2.45729,-3.87195,21.25,-29.1159,-41.0363,-8.54064,-6.06898,-127.043,0.487805,80
