time,angle1,angle2,intgangle,accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
714.302,6.71666,-6.94282,0,0.965193,9.59445,-1.86812,0.0609756,-4.69512,1.09756,-39.5897,-2.45729,-5.21635,-4.39024,-2.95732,7.04268
714.312,6.68329,-6.97283,0,0.902922,9.60642,-1.80584,-0.426829,-7.37805,1.12805,-40.0591,-2.62015,-5.42711,-5.36585,-2.95732,5.18293
714.322,6.6716,-6.99116,0,1.02028,9.61121,-1.79626,-0.670732,-8.41463,1.0061,-40.0304,-2.62973,-5.23551,-3.32317,-3.17073,2.80488
714.332,6.68075,-6.99328,0,1.12326,9.51781,-1.79147,-0.335366,-5.88415,0.701219,-40.0974,-2.67763,-4.96727,-2.92683,-3.47561,2.13415
714.342,6.72431,-6.97661,0,1.25499,9.54176,-1.95194,-0.0914634,-2.83537,-0.121951,-39.6567,-2.19863,-4.58407,-4.96951,-4.32927,3.35366
714.352,6.76291,-6.95367,0,1.35558,9.53457,-2.08127,-0.731707,-2.19512,-0.945122,-39.4843,-2.01661,-4.44995,-8.01829,-6.61585,5.12195
714.362,6.79341,-6.91429,0,1.45857,9.44835,-2.05253,-1.64634,-2.95732,-2.07317,-39.3502,-1.59508,-4.1338,-12.9878,-7.62195,5.7622
714.372,6.82878,-6.8829,0,1.54479,9.43159,-2.07648,-1.98171,-2.59146,-2.43902,-38.9765,-1.49928,-4.21044,-16.0366,-8.87195,7.04268
714.382,6.85703,-6.85033,0,1.5855,9.39327,-1.85854,-1.61585,-0.914634,-3.23171,-38.7466,-1.67172,-4.15296,-19.2073,-11.6159,7.59146
714.392,6.87221,-6.81407,0,1.52802,9.38608,-1.78429,-0.579268,0.884146,-3.62805,-38.8233,-1.6334,-4.07632,-20.6098,-11.9512,6.70732
714.402,6.87287,-6.7966,0,1.42025,9.41482,-1.80345,-0.243902,3.38415,-3.62805,-38.9957,-1.71962,-4.40205,-23.2622,-13.689,4.96951
714.412,6.85926,-6.77663,0,1.26697,9.39566,-1.73639,0.548781,4.66463,-3.20122,-39.0244,-1.80584,-4.35415,-24.5732,-14.939,4.14634
714.422,6.83992,-6.77526,0,1.2502,9.4747,-1.90404,0.27439,4.78659,-3.41463,-39.1298,-1.84417,-4.67029,-27.8659,-12.9878,2.56098
714.432,6.8178,-6.7809,0,1.23823,9.49625,-1.91362,-0.182927,4.32927,-3.53659,-39.2448,-1.86333,-4.80441,-28.4756,-12.5,0.365854
714.442,6.80454,-6.76444,0,1.30529,9.51541,-1.96392,-0.396341,4.05488,-3.5061,-39.264,-1.87291,-4.42121,-30.9146,-12.0122,-0.548781
714.452,6.79604,-6.75068,0,1.31966,9.53936,-1.89925,-0.579268,3.84146,-3.23171,-39.1969,-2.10283,-4.44995,-29.9695,-12.1037,-1.31098
714.462,6.79467,-6.75791,0,1.36037,9.54176,-1.89446,-0.792683,3.23171,-3.07927,-39.0532,-1.94955,-4.78525,-30.8232,-10.5793,-1.95122
714.472,6.78829,-6.73836,0,1.35798,9.54655,-1.80345,-1.06707,2.56098,-3.47561,-38.967,-1.69088,-4.30625,-30.6707,-8.5061,-1.34146
714.482,6.7832,-6.716,0,1.36516,9.58726,-1.78668,-0.853659,2.2561,-3.38415,-38.9957,-1.24062,-4.23918,-32.8963,-6.12805,-0.0304878
714.492,6.7853,-6.68486,0,1.37235,9.57529,-1.7771,-0.182927,2.43902,-2.89634,-39.3214,-1.06818,-4.09548,-36.5854,-3.32317,-0.396341
714.502,6.78556,-6.65059,0,1.35079,9.58247,-1.76992,-0.609756,2.77439,-2.80488,-39.6472,-0.905317,-4.04758,-41.5549,-1.98171,-1.40244
714.512,6.81498,-6.61685,0,1.45138,9.49146,-1.6837,-0.0609756,3.5061,-2.0122,-39.6759,-0.838257,-4.02842,-44.3598,0.182927,-2.13415
714.522,6.85371,-6.60057,0,1.50647,9.55373,-1.71004,0.213415,4.7561,-1.82927,-39.6663,-0.972378,-4.31582,-46.0976,-0.731707,-2.5
714.532,6.90757,-6.59272,0,1.55916,9.55134,-1.80824,-0.121951,5.09146,-1.52439,-39.4268,-0.981958,-4.43079,-48.2317,-1.95122,-1.43293
714.542,6.96168,-6.5953,0,1.60227,9.55134,-1.74118,-0.609756,5.64024,-1.70732,-39.4651,-1.46096,-4.62239,-48.4451,-4.57317,0.97561
714.552,7.00166,-6.60853,0,1.54718,9.52739,-1.66933,-0.0914634,6.58537,-1.92073,-39.2065,-1.78668,-4.78525,-48.3537,-5.91463,2.86585
714.562,7.01592,-6.61708,0,1.35558,9.53218,-1.51126,0.762195,7.92683,-1.67683,-39.1873,-1.95913,-4.71819,-47.0122,-8.29268,4.17683
714.572,6.98956,-6.64696,0,1.1065,9.5705,-1.58311,1.37195,9.42073,-1.40244,-39.216,-2.04535,-5.10139,-45.5488,-8.07927,4.72561
714.582,6.9291,-6.66182,0,0.934058,9.57768,-1.68849,1.21951,9.7561,-0.945122,-38.8903,-2.26569,-4.81399,-44.2988,-6.89024,3.68902
714.592,6.85013,-6.66726,0,0.835862,9.57768,-1.68849,1.06707,7.34756,-0.97561,-39.1777,-1.89207,-4.68945,-44.5122,-5.33537,4.2378
714.602,6.79831,-6.7046,0,0.941243,9.61361,-1.65975,0.914634,4.20732,-1.25,-38.9191,-1.96871,-5.21635,-42.561,-4.78659,2.77439
714.612,6.76236,-6.72702,0,1.01788,9.62558,-1.74836,0.823171,2.68293,-1.31098,-38.8233,-1.93039,-4.95769,-40.7012,-1.34146,2.9878
714.622,6.73347,-6.75179,0,1.07057,9.62319,-1.79147,0.640244,2.65244,-1.85976,-39.1011,-1.78668,-5.04391,-39.6341,0.426829,0.823171
714.632,6.71337,-6.76764,0,1.14482,9.58247,-1.75315,0.152439,1.25,-2.2561,-39.0244,-1.71004,-4.89063,-38.1402,1.79878,0.365854
714.643,6.69438,-6.80843,0,1.17116,9.55613,-1.67891,0.213415,0.457317,-2.59146,-39.4939,-2.31359,-5.40795,-36.372,0.152439,1.43293
714.652,6.68915,-6.83755,0,1.24302,9.53457,-1.54479,0.792683,1.06707,-2.34756,-39.5418,-2.63931,-5.24509,-30.061,-2.5,0.243902
714.662,6.68543,-6.89961,0,1.27176,9.60163,-1.57113,0.640244,3.20122,-2.43902,-39.4556,-3.05125,-5.85822,-25.8841,-8.20122,0.97561
714.672,6.67737,-6.96512,0,1.17356,9.53218,-1.55437,0.731707,4.29878,-1.76829,-39.1107,-3.37698,-5.92528,-15.7317,-12.3171,1.18902
714.682,6.68159,-7.02191,0,1.20469,9.45314,-1.66214,1.12805,4.81707,-1.43293,-38.7754,-3.77934,-5.76242,-10.0915,-10.8232,1.28049
714.692,6.66756,-7.05861,0,1.09452,9.48428,-1.74836,1.15854,4.26829,-1.09756,-38.5263,-3.92304,-5.38879,-5.94512,-2.77439,0.97561
714.702,6.61027,-7.0983,0,0.955613,9.48907,-1.78908,1.06707,2.43902,-0.0609756,-38.3922,-3.77934,-5.41753,-1.09756,5.82317,-0.152439
714.712,6.56958,-7.11743,0,0.991538,9.60163,-1.86333,0.670732,0.487805,-0.0914634,-37.9419,-3.33866,-5.00559,0.945122,13.3232,-1.67683
714.722,6.54049,-7.14122,0,1.01549,9.616,-1.99026,-0.182927,-1.03659,-0.243902,-37.7599,-2.78301,-5.06307,1.55488,16.372,-0.304878
